NN,XX,YY
PULTOC,-75.0667,-13.1
YANAMACHAY,-75.2333,-13.0667
HORNADA,-75.1,-13.4333
COCAS,-75.3667,-13.2667
TICRAPO,-75.4333,-13.3833
HUANCANO,-75.6167,-13.6
LETRAYOC,-75.7167,-13.65
CUSICANCHA,-75.3,-13.4833
HACIENDA MANRIQUE,-76.0333,-13.6833
PAUNA ( TOPARA),-76.2833,-13.2667
CANETE,-76.3167,-13.0667
HACIENDA CA,-76.3304,-13.0748
HUAAEC,-76.1388,-12.2943
HUAROCHIRI,-76.2333,-12.1333
HUANCATA,-76.2167,-12.2167
AYAVIRI,-76.1333,-12.3833
TINCO,-76.3,-12.2833
CALANGO (LA CAPILLA II),-76.4931,-12.5217
SAN PEDRO DE PILAS,-76.2167,-12.45
SUNGA,-75.7,-12.2667
YAURICOCHA,-75.7226,-12.3165
TANTA,-76.0167,-12.1167
VILCA,-75.8262,-12.1146
SIRIA,-75.7333,-12.2333
TOMAS,-75.75,-12.2333
CHAUCHA,-75.6609,-12.2203
CARANIA,-75.8721,-12.3444
LLAPAY,-75.8333,-12.3333
CHUNCHO,-75.65,-12.5333
HUANTAN,-75.8167,-12.45
PICAMARAN,-76.05,-12.7667
YAUYOS,-75.9084,-12.4918
COLONIA,-75.8833,-12.6333
PAMPAS,-75.8167,-12.75
CATAHUASI,-75.8833,-12.8
CALLANGAS,-76.0333,-12.8333
NICOLAS FRANCO SILVERA,-76.0881,-12.8992
PACARAN,-76.0667,-12.8333
VINAC,-75.7833,-12.9167
HUANGASCAR,-75.8337,-12.8986
SOCSI,-76.1945,-13.0283
PIEDRA GRANDE,-76.5167,-12.2167
SAN JAVIER DE ALTO CHUNCHO,-76.7333,-12.4833
TABLADA DE LURIN,-76.8205,-12.326
PANTANOS DE VILLA,-77.015,-12.2016
AEROPUERTO INTERNACIONAL,-77.1167,-12
ISLETA ANCON,-77.1884,-11.7764
HUARANGAL,-77.1,-11.7833
HUAROS,-76.5667,-11.4
PARIACANCHA,-76.5,-11.3833
OBRAJILLO,-76.6221,-11.4526
CANTA,-76.6258,-11.4711
HUAMANTANGA,-76.75,-11.5
LACHAQUI,-76.6167,-11.55
ARAHUAY,-76.7,-11.6167
COLLIQUE,-77.0333,-11.9167
CHORRILLOS,-77.0318,-12.1694
ACOBAMBA,-76.5167,-11.55
MINA COLQUI,-76.4833,-11.5833
PUCRO,-76.3667,-11.5667
TINGO,-76.4833,-11.6167
SHEQUE,-76.4987,-11.6666
LA QUISHA,-76.454,-11.657
CARAMPOMA,-76.5153,-11.655
MILLOC,-76.35,-11.5713
LA PIRHUA,-76.3167,-11.6833
BELLAVISTA,-76.2667,-11.6833
CASAPALCA,-76.2334,-11.6478
RIO BLANCO,-76.2589,-11.7345
AUTISHA,-76.6065,-11.7352
SAN JOSE DE PARAC,-76.2581,-11.8005
TAMBORAQUE,-76.3167,-11.7833
MATUCANA,-76.378,-11.8391
SANTA EULALIA,-76.6668,-11.918
CANCHACALLA,-76.5314,-11.8448
CHAUTE,-76.5167,-11.9333
LIMATAMBO,-77.0167,-12.0333
CHOSICA,-76.7,-11.9167
CHOSICA,-76.7333,-11.9333
LA CANTUTA,-76.7,-11.95
 ANA,-76.8388,-11.9885
SANTA CLARA,-76.8833,-12.0333
RIMAC,-77.05,-12.0167
SAN MARCOS,-77.0667,-12.0667
VON HUMBOLDT,-76.95,-12.0833
CAMPO DE MARTE,-77.0419,-12.0672
MODELO CAMPO DE MARTE,-77.0409,-12.0718
HIPOLITO UNANUE,-77.0607,-12.0693
LAS PALMAS,-77,-12.15
LINCE,-77.0275,-12.0856
TICLIO,-76.2,-11.6
CHALILLA,-76.3333,-11.9333
SAN DAMIAN,-76.3833,-12.0167
SANTIAGO DE TUNA,-76.5167,-11.9833
ANTIOQUIA,-76.5,-12.0833
CIENEGUILLA,-76.8167,-12.1167
LANGA,-76.4,-12.1
MANCHAY BAJO,-76.8667,-12.1667
SAN LAZARO DE ESCOMARCA,-76.35,-12.1833
ATOCONGO,-76.9,-12.2167
