NN,XX,YY
CAJAS GRANDE,-75.2333,-12
HUALHUAS,-75.2333,-11.9833
SICAYA,-75.2667,-12
HACIENDA COLPAS,-75.3,-12
HUAYAO,-75.2667,-12.0333
USIBAMBA,-75.4744,-12.05
HACIENDA JATUNHUASI,-75.6,-12.0833
ANGASMAYO,-75.35,-12.0333
HUAYAO,-75.3228,-12.0383
HUACHAC,-75.3356,-12.0457
COLPA,-75.4393,-12.0523
SAN JUAN DE JARPA,-75.4304,-12.0581
COSMOS,-75.5212,-12.1486
SAN JUAN DE JARPA,-75.4319,-12.1239
CHICHICOCHA,-75.5186,-12.1682
MIRAFLORES,-75.15,-12.1167
CHUPACA,-75.2769,-12.0573
LA LIBERTAD,-75.2383,-12.0727
TRES DE DICIEMBRE,-75.2361,-12.0922
HUANCAN,-75.2,-12.1
HUAYUCACHI,-75.2,-12.1167
LA VICTORIA,-75.2667,-12.1
LAIVE,-75.3606,-12.2522
CHUNCHO,-75.4982,-12.3206
CHONGOS BAJO,-75.259,-12.1264
VIQUES,-75.2175,-12.1627
VIQUES,-75.2281,-12.1558
ANDAMARCA,-74.8333,-11.7167
PARIAHUANCA,-74.9333,-11.9667
ACOPALCA,-75.0156,-11.9081
HUAYTAPALLANA,-74.9489,-11.9414
MATIBAMBA,-74.8167,-12.0833
SALCABAMBA,-74.8167,-12.15
SALCABAMBA,-74.8167,-12.15
SAN LORENZO,-74.7691,-12.3054
COCHARAN,-74.75,-12.4833
COLCABAMBA,-74.6775,-12.4064
HUANCAYOCCASA,-74.7,-12.3667
KICHUAS,-74.7667,-12.4667
LOS NOGALES,-74.6833,-12.3833
PAJAYRAGRA,-74.6667,-12.3667
RANRA,-74.7333,-12.3333
PAUCARBAMBA,-74.6052,-12.452
PAMPAS,-74.8885,-12.3
LA MEJORADA,-74.8653,-12.4966
LA MEJORADA,-74.8395,-12.393
CERCAPUQUIO,-75.4167,-12.4333
PALACO,-75.3,-12.3333
ACOSTAMBO,-75.0356,-12.3424
TELLERIA,-75.091,-12.3667
TELLERIA,-75.0873,-12.3722
ACOSTAMBO,-75.05,-12.3667
PILCHACA,-75.0833,-12.35
HACIENDA TOCAZ,-74.6133,-12.4995
HUANCALPI,-75.2419,-12.58
QUEOLLACOCHA,-74.6425,-12.507
MANTACRA,-74.6845,-12.5366
MANTACRA,-74.6827,-12.5622
VILLENA,-74.6833,-12.5167
MANTA,-75.2,-12.6167
COBRIZA,-74.3857,-12.5701
LA COBRIZA,-74.4,-12.5667
SANTA ROSA,-74.4,-12.6333
ACOBAMBILLA,-75.3167,-12.6667
CHILICOCHA,-75.4,-12.6833
TELEPACCHA,-75.3,-12.75
CHURCAMPA,-74.3833,-12.7333
HUANCAVELICA,-74.9667,-12.7833
HUANCAVELICA,-75.0122,-12.7806
ASTOBAMBA,-75.1037,-12.9188
ALCOMACHAY,-74.3333,-12.8261
MAYOCC,-74.3833,-12.8
LURICOCHA,-74.2333,-12.8167
HUICHICOCHA,-75.1172,-12.9948
HUANTA,-74.2392,-12.9458
HUANTA,-74.25,-12.9333
ACOBAMBA,-74.5678,-12.8375
HUACHOCOLPA,-74.95,-13.0333
HUAPA LIRCAY,-74.7167,-13
LIRCAY,-74.7178,-12.9817
LIRCAY,-74.7167,-12.9833
JULCAMARCA,-74.4333,-13.0167
LA QUINUA,-74.1414,-13.0553
WAYLLAPAMPA,-74.2167,-13.0764
SAN PEDRO DE CACHI,-74.3985,-13.0866
SAN PEDRO DE CACHI,-74.3919,-13.0836
AYACUCHO,-74.2,-13.15
HUAMANGA,-74.237,-13.15
ALLPACHACA,-74.2667,-13.3833
VILCASHUAMAN,-73.9544,-13.66
ANDAHUAYLAS,-73.3706,-13.6567
HUANCABAMBA,-73.35,-13.7333
HUANCAPI,-74.0681,-13.7489
HUANCARAY,-73.5333,-13.75
HUACAHA,-73.8833,-14.1667
HACIENDA COCHAS,-73.8833,-13.0333
SAN MIGUEL,-73.9833,-13.0167
CHOCLOCOCHA,-75.0708,-13.1583
SAN GENARO,-75.1,-13.2
CHUNGUI,-73.6167,-13.2167
CHOCLOCOCHA,-75.0063,-13.3317
SANTA ANA,-75.0563,-13.215
ACNOCOCHA,-75.0833,-13.2167
LOS LIBERTADORES,-74.9167,-13.4
LOS LIBERTADORES,-74.9667,-13.3333
TUNEL CERO,-75.0856,-13.2589
PAMPAS,-73.8134,-13.4333
PARAS,-74.6333,-13.55
CHUSCHI,-74.35,-13.5833
VISCHONGO,-74,-13.5833
ANDARAPA,-73.3667,-13.5167
CHINCHEROS,-73.7167,-13.5167
URIPA,-73.6833,-13.5333
URIPA,-73.6833,-13.5333
TALAVERA,-73.4319,-13.6581
CANGALLO,-74.1167,-13.6333
UCHPA,-74.6333,-13.7
CARHUANCA,-73.7833,-13.7333
RAYUSCA,-74.3488,-13.9788
HUANCASANCOS,-74.3333,-13.9167
PATAHUASI,-74.4,-14.1333
URUBAMBA,-74.3139,-14.1002
PUTACCASA,-74.2055,-14.1075
PECOPE,-73.45,-14.0667
CHILCAYOC,-73.7264,-13.8825
QUEROBAMBA,-73.8333,-14.0167
PAICO,-73.6313,-14.0205
PAMPAMARCA,-74.2,-14.2333
AUCARA,-73.9722,-14.2742
PAUCARAY,-73.6383,-14.0436
PAUCARAY,-73.6333,-14.05
SORAS,-73.6123,-14.1318
PAMPACHIRI,-73.55,-14.1833
CHIPAO,-73.8833,-14.3667
ANDAMARCA,-73.9667,-14.3833
PICHARI,-73.8483,-12.4575
TERESITA,-73.8,-12.55
SIVIA,-73.8667,-12.5
MACHENTE,-73.826,-12.5609
SAN FRANCISCO,-73.7893,-12.6298
ANCO,-73.5667,-12.9667
MOLLEPATA,-72.55,-13.5167
CUNYAC,-72.7,-13.55
CURAHUASI,-72.7347,-13.5522
ABANCAY,-72.8703,-13.6081
GRANJA MODELO,-72.8869,-13.5739
ABANCAY,-72.8833,-13.6333
HUANCARAMA,-73.0833,-13.65
TAMBOBAMBA,-72.1756,-13.9456
CHUQUIBAMBILLA,-72.7,-14.1
PAMPAPUQUIO,-72.685,-14.1
CHALHUANCA II,-73.1667,-14.3333
CHALHUANCA,-73.1792,-14.3919
ANTABAMBA,-72.8833,-14.3667
PARURO,-71.8444,-13.7672
LIVITACA,-71.6833,-14.3167
ACOMAYO,-71.6892,-13.9214
SANTO TOMAS,-72.0838,-14.4386
YAURI,-71.4317,-14.8014
JANACANCHA (CAYLLOMA),-71.7435,-15.2922
ANGOSTURA,-71.65,-15.1833
CAYLLOMA,-71.7682,-15.1854
CHALLPO,-71.7667,-15.2667
LA ANGOSTURA,-71.6492,-15.1794
MINAS CAYLLOMA,-71.85,-15.15
PUSA PUSA,-71.65,-15.2167
SEPA,-73.3192,-10.4045
SEPAHUA,-73.0858,-10.7378
CIRIALO,-73.1833,-12.7167
ECHARATE,-72.6281,-12.7613
ECHARATE,-72.587,-12.7812
QUEBRADA YANATILE,-72.2708,-12.6747
OCOBAMBA,-72.4333,-12.8333
QUILLABAMBA,-72.6917,-12.8558
MARANURA,-72.6667,-12.95
VILCABAMBA,-73.0167,-13.1167
HUYRO,-72.45,-13.0667
URCOS,-71.6333,-13.7
HUACHIBAMBA,-72.1,-13.05
ACJANACO,-71.6803,-13.1502
CHACLLABAMBA,-71.7167,-13.1
CHALLABAMBA,-71.6469,-13.2172
HACIENDA SANTA INES,-71.8333,-13.2
SUNCHUBAMBA,-71.6772,-13.2375
MACHU PICCHU,-72.5456,-13.1667
PAUCARTAMBO,-71.5903,-13.3242
CALCA,-71.95,-13.3333
YUCAY,-72.0833,-13.3
COLQUEPATA,-71.7053,-13.3631
COLQUEPATA,-71.6833,-13.3667
URUBAMBA,-72.1291,-13.3231
PISAC,-71.8494,-13.4158
PISAC,-71.8333,-13.4333
CHINCHERO,-72.0612,-13.3909
ANTA ANCACHURO,-72.2156,-13.4681
ZURITE,-72.2667,-13.4667
CHITAPAMPA,-71.9175,-13.4537
PERAYOC,-71.95,-13.5167
CAICAY,-71.6872,-13.5945
CAICAY,-71.6945,-13.5853
HUAMBUTIO,-71.7075,-13.5717
CCATCCA,-71.56,-13.6097
HUAYLLAPAMPA,-71.4407,-13.5813
GRANJA KCAYRA,-71.875,-13.5567
CUSCO,-71.9667,-13.5333
OCONGATE,-71.4,-13.6333
POMACANCHI,-71.5358,-14.0278
COMBAPATA,-71.4333,-14.1
SICUANI,-71.2369,-14.2533
YANAOCA,-71.4333,-14.2167
CHECTUYOC,-71.2,-14.3333
MARANGANI,-71.15,-14.3833
LA RAYA,-71.2312,-14.4248
HUARAYA MOHO,-69.4843,-15.3883
CONIMA,-69.4333,-15.45
ARAPA,-70.1182,-15.1362
PUTINA,-69.8678,-14.9146
PUTINA,-69.8678,-14.9146
MUNANI,-69.9518,-14.7669
HUANCANE,-69.7536,-15.2015
COJATA,-69.3667,-15.0167
COJATA,-69.3637,-15.0254
RAMIS,-69.8665,-15.2371
TARACO,-69.9203,-15.2558
TARACO,-69.9667,-15.3
NUNOA,-70.6333,-14.4833
ANTAUTA,-70.3,-14.3
CRUCERO,-70.0259,-14.3642
CRUCERO,-70.0333,-14.3667
SOLLOCTA,-69.9615,-14.3579
ANANEA,-69.5572,-14.6043
ANANEA,-69.5342,-14.6784
PROGRESO,-70.3145,-14.7156
ORURILLO,-70.5167,-14.7333
AZANGARO,-70.1908,-14.9144
AZANGARO,-70.1833,-14.9167
SANTA ROSA,-70.7928,-14.6178
SANTA ROSA,-70.7833,-14.6167
AYAVIRI,-70.5931,-14.8719
CHUQUIBAMBILLA,-70.7264,-14.7903
TIRAPATA,-70.4,-14.95
LLALLY,-70.8811,-14.9514
LLALLY,-70.8833,-14.9333
PUCARA,-70.3666,-15.0497
PUCARA,-70.3755,-15.0517
HACIENDA ORDU,-70.7566,-15.2884
JULI,-69.4599,-16.2038
YUNGUYO,-69.0025,-16.2475
TAHUACO - YUNGUYO,-69.0747,-16.3078
TUQUINA,-69.2667,-16.35
DESAGUADERO,-69.0401,-16.5685
GRANJA SALCEDO,-70,-15.8833
PUNO,-70.0121,-15.8263
SAN MARTIN DE PORRES,-70,-15.8667
LAGO TITICACA,-70.0222,-15.837
CAMACANI,-69.8167,-15.9333
CARITAMAYA,-69.7572,-15.9373
RINCON DE LA CRUZ,-69.8167,-15.9833
RINCON DE LA CRUZ,-69.8,-15.9833
ILAVE,-69.645,-16.0882
COLLACACHI,-69.9833,-15.9667
LARAQUERI,-70.0666,-16.1547
LARAQUERI,-70.05,-16.1333
CHILLIGUA,-69.6313,-16.4193
CHICHILLAPI,-69.7833,-16.9333
COYPA COYPA,-69.9333,-17.0167
MAZO CRUZ,-69.7155,-16.739
MAZO CRUZ,-69.7167,-16.7333
PIZACOMA,-69.3686,-16.907
ISLA SOTO,-69.4913,-15.5598
ISLA SOTO,-69.4858,-15.5309
ISLA TAQUILE,-69.6935,-15.768
ISLA TAQUILE,-69.6858,-15.7642
LOS UROS,-69.9385,-15.8135
HUACULLANI,-69.3376,-16.1154
I,-69.5781,-10.9558
FUNDO IBERIA,-69.5833,-11.35
IBERIA,-69.5833,-11.35
PAKITZA,-71.2828,-11.9442
SALVACION,-71.4034,-12.8303
SHINTUYA,-71.1821,-12.7896
PILCOPATA,-71.1914,-13.1505
CHONTACHACA,-71.4675,-13.0236
ROCOTAL,-71.5706,-13.1131
OLLACHEA,-70.4971,-13.8039
QUINCEMIL,-70.765,-13.2233
QUINCEMIL,-70.7667,-13.2
LIMBANI,-69.7056,-14.1538
LIMBANI,-69.7,-14.15
SAN GABAN,-70.3891,-13.6902
OTORONGO,-70.4,-13.4667
SAN GABAN,-70.4046,-13.4405
MACUSANI,-70.4391,-14.07
SINA,-69.2833,-14.5
CUYO CUYO,-69.549,-14.4889
TAMBOPATA,-69.15,-12.65
TAMBOPATA,-69.1611,-14.2272
PUERTO MALDONADO,-69.205,-12.5894
PUERTO MALDONADO,-69.2,-12.5833
BREU,-72.7833,-9.51667
PUERTO ESPERANZA,-70.75,-9.75
OVENTENI,-74.2353,-11.047
JACAYHUANCA,-75.8333,-11.4
TARMA,-75.6914,-11.3967
LA GRANJA,-75.2167,-10.7167
VILLA RICA,-75.2625,-10.7542
HACIENDA HUANCA,-75.9641,-10.6264
TALENGA,-75.9263,-10.548
HUANGUSH BAJO,-75.8833,-10.6333
LECHE COCHA,-75.95,-10.5833
MANTO,-75.5833,-10.7167
PACCHAPATA,-75.9167,-10.5833
ALTO MACHAY,-75.9558,-10.6399
JAICO,-75.8566,-10.5957
JANCAHUAY,-75.8566,-10.579
LUICHOCOCHA,-75.9566,-10.6457
MACHAVADO,-75.8399,-10.5624
HUANGUSH ALTO,-75.887,-10.5217
SUPAYHUAYTA,-75.887,-10.6273
MEZA PATA,-75.3833,-10.7167
YAUPI,-75.5315,-10.7353
PAUCARTAMBO,-75.8076,-10.7456
CHANCHOS BAJO,-75.9333,-10.8333
CHANCHOS BAJOS SUR,-75.85,-10.85
CHUPACA,-75.9833,-10.8
COCHACHUPAN #1,-75.8667,-10.7833
COCHACHUPAN #2 Y #3,-75.7914,-10.787
GALLORUMI,-75.9,-10.8333
HUISCAPALLAC,-75.9333,-10.85
MATACOCHA,-75.8667,-10.8
YUNCAN,-75.8,-10.7667
CALZONCOCHA,-75.7943,-10.7985
CHANCHOS ALTO,-75.7777,-10.7985
LA LEGUA,-75.8443,-10.8651
TAMBILLO,-75.811,-10.8318
VICTORIA # 2,-75.911,-10.8485
PERENE,-74.893,-10.9143
PICHANAKI,-74.8669,-10.9333
HACIENDA MANCAN,-75.8667,-10.9833
PUERTO OCOPA,-74.3072,-11.1453
PAMPA WHALEY,-75.25,-10.9
HUASAHUASI,-75.6319,-11.2694
SOGAYACO,-75.6333,-11.2833
GRANJA SATIPO,-74.5667,-11.2167
SATIPO,-74.6086,-11.2244
SAN RAMON,-75.3333,-11.1333
MAZAMARI,-74.55,-11.25
CHONTABAMBA,-75.3528,-11.2597
SAN ELOY DE SINGAYAC,-75.2833,-11.25
TOLDOPAMPA,-74.9156,-11.5095
COMAS,-75.1289,-11.7483
RUNATULLO,-75.0122,-11.6189
RUNATULLO,-75.05,-11.5833
RICRAN,-75.5327,-11.5561
CHAGLLA,-75.8848,-10.0519
TOURNAVISTA,-74.7427,-8.84985
AGUAS CALIENTES,-74.7093,-8.83869
PUERTO INCA,-74.9608,-9.38139
PUERTO INCA,-74.9667,-9.36667
CIUDAD CONSTITUCION,-75.0836,-9.8546
PUERTO BERMUDEZ,-74.9,-10.3
PUERTO VICTORIA,-74.9333,-9.86667
ESPERANZA,-75.121,-10.1007
ISCOZACIN,-75.15,-10.1833
POZUZO,-75.55,-10.05
HUANCABAMBA,-75.55,-10.3833
SAN MIGUEL DE BOCAZ,-75.15,-10.6333
OXAPAMPA,-75.3856,-10.5939
IPARIA,-74.4667,-9.3
BOLOGNESI,-74,-10.0667
ATALAYA,-73.7833,-10.7333
MASISEA,-74.3167,-8.6
EL MARONAL,-75.0883,-8.45
SAN JORGE,-74.8667,-8.5
AGUAYTIA,-75.5,-9.03333
AGUAYTIA,-75.65,-8.91667
SAN ALEJANDRO,-75.3971,-8.85696
YURAC,-75.5167,-9.05
EL MARONAL,-75.2167,-8.82778
SAN ALEJANDRO,-75.2103,-8.82778
PUCALLPA,-74.5333,-8.36667
PUCALLPA,-74.5333,-8.38333
PUCALLPA,-74.55,-8.41667
PUCALLPA,-74.5333,-8.36667
NESHUYA,-74.6426,-8.58925
PUCALLPA-UNU,-74.6319,-8.22903
LAS PALMERAS,-74.8058,-8.47528
LAS PALMERAS DE UCAYALI,-74.8661,-8.5825
CONTAMANA,-75.0058,-7.35222
TIRUNTAN,-74.8333,-7.95
PAMPA HERMOSA,-75.2833,-7.2
BERGERIE,-71.9333,-2.31667
CORBATA,-70.9833,-2.28333
EL ESTRECHO,-72.75,-2.58333
EL ESTRECHO,-72.75,-2.58333
GUEPPI,-75.25,-0.116667
SANTA MERCEDES,-71.9167,-2.32917
TAMSHIYACU PER,-72.2833,-2.6
PUERTO ARTURO,-73.3497,-1.82019
SANTA MARIA DE NANAY,-73.6667,-3.83333
PUNCHANA,-73.2541,-3.69003
PUNCHANA,-73.2664,-3.72906
QUISTOCOCHA,-73.3505,-3.76053
AMAZONAS,-73.3,-3.7
GUAYABAMBA,-73.25,-3.75
IQUITOS,-73.25,-3.75
ZUNGAROCOCHA,-73.25,-3.75
MORALILLO,-73.4185,-3.82604
PUERTO ALMENDRAS,-73.3948,-3.82269
QUISTOCOCHA,-73.3846,-3.7873
MUYUY,-73.4514,-3.82843
PANTOJA,-75.178,-0.964832
ARICA,-75.2,-1.6
CURARAY,-74.1,-2.36667
SANTA CLOTILDE,-73.6792,-2.48747
SANTA CLOTILDE,-73.7,-2.46667
BELLAVISTA,-73.0836,-3.48361
LA LIBERTAD,-73.2422,-3.45694
MAZAN,-73.0794,-3.48472
PUERTO ALEGRE,-73.1167,-3.5
SANTA CRUZ,-73.1336,-3.50028
BARTRA,-75.75,-2.46667
SARGENTO LORES,-74.5667,-3.73333
TENIENTE LOPEZ,-76.1359,-2.45259
TROMPETEROS,-75.0167,-3.8
SAN ROQUE,-73.2436,-3.75117
TAMSHIYACU,-73.1606,-4.00297
MANITI,-72.8667,-3.53333
FRANCISCO ORELLANA,-72.7667,-3.42333
MORONA,-73.2633,-3.54798
TIMICURILLO,-73.0836,-3.51694
NAUTA,-73.5725,-4.51917
NAUTA,-73.5833,-4.5
SAN REGIS,-74.2,-4.6
PEBAS,-71.8576,-3.31453
CABALLOCOCHA,-70.5121,-3.91125
CHIMBOTE,-70.7833,-3.93333
PUERTO ALEGRIA,-70.0667,-4.13333
PETROPOLIS,-70.0107,-4.26453
SAN FERNANDO,-70.25,-4.16667
SANTA ROSA,-70.0069,-4.29404
ANGAMOS,-72.898,-5.16667
ANGAMOS,-72.9035,-5.14832
SANTA RITA,-72.1167,-16.4667
AREQUIPA,-71.5333,-16.4
LA PAMPILLA,-71.534,-16.4116
VITOR,-71.8333,-16.4167
CHARACATO,-71.4833,-16.472
HUASACACHE,-71.5158,-16.4653
SOCABAYA,-71.5333,-16.4667
IMATA,-71.0875,-15.8364
PILLONES,-71.2133,-15.9786
YANQUE,-71.5742,-15.7711
JOLLOJELLO,-71.8,-15.8833
LLUTA,-72.0167,-16.0167
TUNEL T. QUERQUE,-72.0833,-15.9167
HUANCA,-71.8783,-16.0306
HUANCA,-71.8833,-16.0333
CHARACATO,-71.7,-16.25
PAMPA DE ARRIEROS,-71.5889,-16.0631
SUMBAY,-71.3581,-15.9793
YURA,-71.7,-16.25
EL FRAYLE,-71.1869,-16.0844
LLUCLLA,-72.0333,-16.1833
SANTA ISABEL DE SIGUAS,-72.1167,-16.3333
LA JOYA,-71.9189,-16.5922
AGUADA BLANCA,-71.35,-16.2333
AREQUIPA,-71.5504,-16.3539
ANTIQUILLA,-71.4314,-16.4
CHIGUATA,-71.4,-16.4
CHIGUATA,-71.4,-16.4
LAS SALINAS,-71.1629,-16.3178
COLEGIO M. FRANCISCO BOLOGNESI,-71.5205,-16.393
COLEGIO SALECIANO,-71.5,-16.3853
MIRAFLORES,-71.4821,-16.3731
MOLLENDO,-72.0075,-17.0131
PUNTA ISLAY,-72.1002,-17.0057
EL AYRO,-69.6167,-17.5833
PAUCARANI,-69.7667,-17.5333
PAUCARANI,-69.7785,-17.5294
CAPAZO,-69.7355,-17.1877
JARUMAS,-70.0112,-17.1648
VILACOTA,-70.0514,-17.1286
VILACOTA,-70.05,-17.1167
KOVIRE,-69.926,-17.2202
CHALLAPALCA,-69.7946,-17.2372
CHUAPALCA,-69.6451,-17.2947
CHUAPALCA,-69.6739,-17.4245
FRONTERA,-69.4875,-17.3943
PALCA,-69.9559,-17.7747
PALCA,-69.9667,-17.7667
BOCATOMA,-69.8737,-17.6042
BOCATOMA,-69.8811,-17.6072
CALIENTES,-70.1386,-17.8786
CALIENTES,-70.1333,-17.8667
LLUTA,-70.0333,-17.8333
CALANA,-70.1806,-17.9411
CORPAC,-70.1833,-17.9333
CANDARAVE,-70.2673,-17.2906
YABROCO,-70.1572,-17.3005
QUEBRADA HONDA,-70.5,-17.15
CAMILACA,-70.4333,-17.2667
TACALAYA,-70.4167,-17
CAIRANI,-70.3383,-17.2901
CAIRANI,-70.3667,-17.2833
ILABAYA,-70.5267,-17.4122
ILABAYA,-70.5167,-17.4167
MIRAVE,-70.55,-17.4833
TOQUEPALA,-70.627,-17.2878
TOQUELA,-70.5217,-17.4316
ARICOTA,-70.2354,-17.3256
CURIBAYA,-70.3061,-17.4037
LOCUMBA,-70.7643,-17.6118
MATOGROSO,-70.7167,-17.4833
ITE,-70.9515,-17.8601
ICHICOLLO,-70.0833,-17.25
SUSAPAYA,-70.1314,-17.3536
SUSAPAYA,-70.1333,-17.35
TARATA,-70.036,-17.4792
SITAJARA,-70.1543,-17.3654
HACIENDA PUQUIO,-70.3833,-17.7667
SAMA GRANDE,-70.4879,-17.7837
TALABAYA,-69.9877,-17.5513
GRANDE,-70.1035,-17.6408
TACNA,-70.2667,-18.05
TACNA,-70.2667,-18.05
JORGE BASADRE,-70.2507,-18.0267
MAGOLLO,-70.3333,-18.1167
MAGOLLO,-70.3333,-18.1167
TACNA,-70.3,-18.0667
LA YARADA,-70.5236,-18.2112
ILO,-71.3347,-17.6497
PUNTA COLES,-71.3732,-17.6984
ITE,-70.9667,-17.85
MOQUEGUA,-70.9307,-17.1754
COSCORI,-70.7667,-17.1167
OTORA,-70.85,-17
YACANGO,-70.8658,-17.0935
TUMILACA,-70.8333,-17.1333
ILO,-71.2859,-17.6288
CRUCERO,-70.4667,-16
UBINAS,-70.8564,-16.3822
ICHUMA,-70.5521,-16.1326
ICHUMA,-70.55,-16.1333
ESQUILACHE,-70.2833,-16
LLOQUE,-70.7333,-16.3167
PACHAS,-70.7333,-16.4667
COALAQUE,-71.0167,-16.65
PUQUINA,-71.1829,-16.6262
CARUMAS,-70.6915,-16.8124
PAMPA UMALZO (TITIJONES),-70.526,-16.6179
VIZCACHAS,-70.428,-16.8152
OMATE,-70.9788,-16.6749
CALACOA,-70.6825,-16.7346
QUINISTAQUILLAS,-70.8971,-16.7691
LA CAPILLA,-71.2,-16.7667
HACIENDITA,-71.6167,-17
LA HACIENDITA,-71.5883,-16.9906
PAMPA BLANCA,-71.7225,-17.0683
PAMPA DE CLEMESI,-71.2,-17.2667
SAMANGO,-76.05,-5.91667
SAN RAMON,-76.0833,-5.93333
SHANUSI,-76.2667,-6.1
YURIMAGUAS,-76.0667,-5.9
SHUCSHUYACU,-75.8667,-6.05
PONGO DE CAYNARACHI,-76.3,-6.33333
PONGO DE CAYNARACHI,-76.3,-6.33333
PELEJO,-75.7925,-6.213
NAVARRO,-75.752,-6.34434
PUCALLPA HUIMBAYOC,-75.8,-6.4
HUIMBAYOC,-75.75,-6.41667
CHAZUTA,-76.1191,-6.58333
BALSA PUERTO,-76.5833,-5.85
PLANTACION YURIMAGUAS,-76.1167,-5.9
BUENOS AIRES,-77.0333,-5.86667
MOYOBAMBA,-76.9667,-6
MOYOBAMBA,-76.9333,-6.05
PUEBLO LIBRE,-77.0833,-5.76667
SAN JOSE DEL ALTO MAYO,-77.2833,-5.68333
SHIMPIYACU,-77.0333,-5.71667
VALLE DE LA CONQUISTA,-77.1333,-5.86667
NARANJILLO,-77.3833,-5.83333
NARANJILLO,-77.3833,-5.83333
YURACYACU,-77.2,-5.95
RIOJA,-77.1667,-6.03333
JEPELACIO,-76.9185,-6.10887
SORITOR,-77.1037,-6.14037
CARRIZAL,-76.8138,-6.26667
PACAYPITE,-76.8006,-6.21667
PACAYSAPA,-76.8206,-6.29067
TABALOSOS,-76.65,-6.41667
TABALOSOS,-76.65,-6.41667
SAN ANTONIO,-76.4167,-6.41667
LAMAS,-76.5605,-6.38412
SHILCAYO,-76.3423,-6.53026
SHANAO,-76.5816,-6.41865
TARAPOTO,-76.4153,-6.52595
TARAPOTO,-76.3667,-6.5
CUNUMBUQUE,-76.5,-6.5
EL PORVENIR,-76.3167,-6.58333
LAGUNAS,-75.6833,-5.2
SANTA CRUZ,-75.8667,-5.48333
PLANTACION SANTA MARIA,-76.1,-5.78333
SAUCE,-76.228,-6.69067
PILLUANA,-76.304,-6.79816
TINGO DE PONAZA,-76.25,-6.93333
TINGO DE PONAZA,-76.25,-6.93333
PICOTA,-76.3333,-6.93333
SHAMBOYACU,-76.1293,-7.02294
ALAO,-76.737,-6.51498
ALAO,-76.7645,-6.52049
SISA,-76.6833,-6.61667
AGUA BLANCA,-76.7167,-6.73333
SAPOSOA,-76.7667,-6.9
SAPOSOA,-76.7667,-6.9
SAN PABLO,-76.6,-6.8
SAN PABLO,-76.6,-6.8
BELLAVISTA,-76.55,-7.05
SACANCHE,-76.7333,-7.1
JUANJUI,-76.7187,-7.11285
JUANJUI,-76.75,-7.13333
JUANJUI (TABACO),-76.7333,-7.13333
RODRIGUEZ. DE MENDOZA,-77.4075,-6.31652
PACHIZA,-76.7813,-7.28685
SHEPTE,-76.85,-7.48333
LA UNION,-76.5,-7.18333
NUEVO LIMA,-76.5,-7.11667
JOSE OLAYA,-76.4797,-7.23869
JOSE OLAYA (DOS DE MAYO),-76.4595,-7.23502
CUSCO,-76.5,-7.26667
CUSCO,-76.5,-7.26667
MONTESECO,-79.5167,-7.13333
EL MILAGRO,-79.5,-7.21667
CHEPEN,-79.4333,-7.23333
HACIENDA LURIFICO,-79.4333,-7.21667
GUADALUPE-TALLA,-79.4667,-7.23333
TALLA (GUADALUPE),-79.4249,-7.26639
RUPAHUASI,-78.7835,-6.86989
LLAPA,-78.8167,-6.98333
SAN MIGUEL,-78.85,-6.98333
LLAPA,-78.6833,-6.98333
GRANJA PORCON,-78.6333,-7.03333
QUEBRADA HONDA,-78.65,-6.9
LAS PALTAS,-78.9181,-7.19069
LIVES,-79.0333,-7.08333
LAGUNA COMPUERTAS,-78.8167,-7.13333
SAN PABLO,-78.8333,-7.08333
HACIENDA TUNAD,-78.7167,-7.16667
HACIENDA CADENA,-78.7353,-7.16845
CHILETE,-78.85,-7.21667
HACIENDA LLAGADEN,-78.5833,-7.26667
MAGDALENA,-78.6525,-7.25344
GALLITO CIEGO,-79.1667,-7.23333
TEMBLADERA,-79.1333,-7.25
MONTE GRANDE,-79.1532,-7.225
HUACRACHUCO,-78.4242,-7.32386
MAGDALENA,-78.6833,-7.26667
CONTUMAZA,-78.8167,-7.35
YUMAGUAL,-78.5148,-7.23685
SAN JUAN,-78.4958,-7.29072
SAN JUAN,-78.4833,-7.3
ASUNCION,-78.5167,-7.31667
ASUNCION,-78.5167,-7.31667
JEQUETEPEQUE,-79.5667,-7.33333
SAN JOSE,-79.45,-7.35
PACASMAYO,-79.5667,-7.4
SAN PEDRO,-79.5,-7.41667
SAN PEDRO DE LLOC,-79.5,-7.41667
CHERREPE,-79.5548,-7.11621
CAPITANIA ETEN,-79.8445,-6.93532
PUERTO ETEN,-79.8644,-6.93234
FERREHAFE,-79.7922,-6.63222
LAMBAYEQUE,-79.9211,-6.70333
PIMENTEL,-79.9333,-6.83333
CHICLAYO,-79.8333,-6.78333
CHICLAYO CORPAC,-79.8333,-6.76667
EL ESPINO,-79.4667,-6
PENACHI,-79.4667,-6.16667
MOTUPE,-79.7486,-6.21586
INCAHUASI,-79.3186,-6.23369
INCAHUASI,-79.3167,-6.23333
MARAYHUACA,-79.35,-6.16667
PUCHACA,-79.467,-6.37317
PUCHACA,-79.4667,-6.35
JAYANCA (LA VINA),-79.7683,-6.33278
CASCABAMBA,-79.3,-6.36667
TOCMOCHE,-79.3558,-6.40806
PANALA,-80.0292,-6.48762
MORROPE,-80.0167,-6.53333
GRANJA MILITAR SASAPE,-79.9,-6.48333
HUAMBOS,-78.9631,-6.45361
