date,serie_pp
1/11/1998,9.826760745
1/12/1998,28.19599488
1/01/1999,49.63095686
1/02/1999,137.4797099
1/03/1999,67.52977209
1/04/1999,28.18554955
1/05/1999,9.900817305
1/06/1999,1.312091205
1/07/1999,0.519331174
1/08/1999,0.779649343
1/09/1999,7.686076776
1/10/1999,13.36088503
1/11/1999,14.65719407
1/12/1999,34.88145453
1/01/2000,77.91103362
1/02/2000,98.99569759
1/03/2000,67.01925393
1/04/2000,25.68949311
1/05/2000,6.002062468
1/06/2000,0.492519878
1/07/2000,0.34230515
1/08/2000,1.173123415
1/09/2000,7.719609785
1/10/2000,15.28370684
1/11/2000,12.12290092
1/12/2000,62.94615031
1/01/2001,85.46900579
1/02/2001,67.95474016
1/03/2001,106.7611317
1/04/2001,19.65097151
1/05/2001,2.052330648
1/06/2001,0.506015886
1/07/2001,0.57046809
1/08/2001,0.254571539
1/09/2001,7.187210015
1/10/2001,11.30581232
1/11/2001,38.40513084
1/12/2001,17.93810596
1/01/2002,36.34144839
1/02/2002,87.08701439
1/03/2002,71.11673005
1/04/2002,35.86289754
1/05/2002,1.839805063
1/06/2002,0.653538533
1/07/2002,0.901395333
1/08/2002,0.514502276
1/09/2002,6.209954503
1/10/2002,31.59087448
1/11/2002,35.79319135
1/12/2002,29.83312257
1/01/2003,49.8237651
1/02/2003,53.56775681
1/03/2003,77.78155109
1/04/2003,18.20380707
1/05/2003,1.195997919
1/06/2003,0.385711472
1/07/2003,0.263323736
1/08/2003,0.7079274
1/09/2003,0.725717928
1/10/2003,7.873924738
1/11/2003,4.93517904
1/12/2003,61.38939894
1/01/2004,15.35624802
1/02/2004,61.11240954
1/03/2004,39.42332659
1/04/2004,16.84869882
1/05/2004,1.302196283
1/06/2004,0.865375902
1/07/2004,0.847684611
1/08/2004,0.20958031
1/09/2004,5.362685338
1/10/2004,22.06228663
1/11/2004,24.47187999
1/12/2004,53.75809582
1/01/2005,43.65463736
1/02/2005,33.19254534
1/03/2005,57.23594197
1/04/2005,13.01144445
1/05/2005,0.733337488
1/06/2005,0.280218154
1/07/2005,0.206946223
1/08/2005,0.351620822
1/09/2005,0.808748441
1/10/2005,5.699285074
1/11/2005,5.110182024
1/12/2005,39.63145378
1/01/2006,58.73300111
1/02/2006,76.18499753
1/03/2006,87.48723531
1/04/2006,36.2270599
1/05/2006,0.276114346
1/06/2006,1.141586666
1/07/2006,0.182823148
1/08/2006,0.288814969
1/09/2006,3.361798837
1/10/2006,11.14394168
1/11/2006,12.80706292
1/12/2006,54.04893213
1/01/2007,58.1337401
1/02/2007,43.32711382
1/03/2007,101.9096629
1/04/2007,40.78007341
1/05/2007,4.907809547
1/06/2007,0.111073168
1/07/2007,0.185118074
1/08/2007,1.373363146
1/09/2007,1.839503106
1/10/2007,20.01607736
1/11/2007,11.9965237
1/12/2007,22.4412645
1/01/2008,64.98434166
1/02/2008,81.7779682
1/03/2008,78.40452296
1/04/2008,20.64248997
1/05/2008,0.307237024
1/06/2008,0.956975638
1/07/2008,0.162093077
1/08/2008,1.755384922
1/09/2008,1.391218765
1/10/2008,19.9148322
1/11/2008,19.89937263
1/12/2008,33.06217916
1/01/2009,88.31940149
1/02/2009,108.3994785
1/03/2009,95.89163404
1/04/2009,29.41763269
1/05/2009,3.122726093
1/06/2009,0.612233249
1/07/2009,0.599822256
1/08/2009,1.277261211
1/09/2009,3.25759153
1/10/2009,26.8362569
1/11/2009,32.43444011
1/12/2009,42.75231864
1/01/2010,47.21021067
1/02/2010,42.19245687
1/03/2010,50.60986875
1/04/2010,23.7217149
1/05/2010,2.173144094
1/06/2010,0.702962644
1/07/2010,0.111598179
1/08/2010,0.147481699
1/09/2010,3.614200626
1/10/2010,8.303520346
1/11/2010,17.2558602
1/12/2010,53.05966702
1/01/2011,80.40461413
1/02/2011,42.29889749
1/03/2011,54.57960825
1/04/2011,37.05605336
1/05/2011,1.326800111
1/06/2011,0.879518425
1/07/2011,0.968701145
1/08/2011,0.88751303
1/09/2011,5.146228666
1/10/2011,3.511131045
1/11/2011,35.01133759
1/12/2011,61.12773584
1/01/2012,38.3383281
1/02/2012,86.24277353
1/03/2012,95.5212077
1/04/2012,51.80365721
1/05/2012,2.443438291
1/06/2012,0.811128966
1/07/2012,0.621806722
1/08/2012,0.674974351
1/09/2012,13.27558878
1/10/2012,22.38903443
1/11/2012,20.03727887
1/12/2012,42.39110338
1/01/2013,34.81535119
1/02/2013,79.80891433
1/03/2013,86.3367986
1/04/2013,5.840932588
1/05/2013,6.80445236
1/06/2013,0.870159051
1/07/2013,0.404994093
1/08/2013,2.716357265
1/09/2013,2.205071067
1/10/2013,27.44581985
1/11/2013,22.93770443
1/12/2013,34.46583924
1/01/2014,55.24737284
1/02/2014,52.188181
1/03/2014,81.88542057
1/04/2014,19.54664933
1/05/2014,8.927985016
1/06/2014,0.252414295
1/07/2014,0.772652377
1/08/2014,2.160323894
1/09/2014,5.41550283
1/10/2014,14.15969237
1/11/2014,25.07983045
1/12/2014,52.83560313
1/01/2015,61.43588995
1/02/2015,52.33692273
1/03/2015,82.52662064
1/04/2015,26.71744426
1/05/2015,2.778800412
1/06/2015,0.959762785
1/07/2015,0.091589442
1/08/2015,2.343513602
1/09/2015,3.625475829
1/10/2015,9.214384003
1/11/2015,19.18325638
1/12/2015,33.32146508
1/01/2016,21.83772594
1/02/2016,69.91685279
1/03/2016,44.92902632
1/04/2016,23.40201236
1/05/2016,1.604947199
1/06/2016,0.619813814
1/07/2016,0.228145497
1/08/2016,0.623838078
1/09/2016,5.977840195
1/10/2016,5.101568584
1/11/2016,0.61455048
1/12/2016,29.12556592
