,x
X252.5,78.4109036770273
X253.5,139.68583341355
X254.5,110.414773337384
X255.5,34.0952520947507
X256.5,7.53175499210966
X257.5,2.58158899158081
X258.5,0.373927885577862
X259.5,4.13277133792005
X260.5,4.2261891523277
X261.5,39.9330710882836
X262.5,62.6553698727425
X263.5,72.2086080208104
X264.5,66.9904837906361
X265.5,79.0324453388123
X266.5,66.1190123053149
X267.5,46.718108735186
X268.5,7.98525664234098
X269.5,1.4671062129411
X270.5,1.54385960195957
X271.5,1.82664263244852
X272.5,10.0109693530075
X273.5,78.9279874068625
X274.5,61.4668883202558
X275.5,71.7688827349784
X276.5,73.4811301865476
X277.5,39.795412962107
X278.5,168.135410278401
X279.5,92.8408213980654
X280.5,18.5421673414555
X281.5,8.2444628521483
X282.5,0.797972953486989
X283.5,1.63365037055646
X284.5,6.45365123157489
X285.5,35.1036114234557
X286.5,38.9792285799346
X287.5,82.7820628700738
X288.5,47.5187210992296
X289.5,190.561128403278
X290.5,131.739973140524
X291.5,50.5581218695387
X292.5,25.7506812430443
X293.5,6.08329650933081
X294.5,3.77182398023123
X295.5,1.40887974745574
X296.5,13.254148181726
X297.5,53.7531930058798
X298.5,41.5414279673962
X299.5,53.7849930439224
X300.5,27.0459249651733
X301.5,55.2291589338095
X302.5,67.7759831531786
X303.5,53.5116895770139
X304.5,26.3201878742969
X305.5,1.54109626001817
X306.5,2.68582004435024
X307.5,1.78105890136608
X308.5,24.3572199728261
X309.5,20.6880989965606
X310.5,24.0580491318982
X311.5,68.0104780476144
X312.5,111.242634712382
X313.5,82.5361839250285
X314.5,95.3977235860013
X315.5,79.2764126081416
X316.5,15.0744299355974
X317.5,1.39067891359012
X318.5,1.51638184533395
X319.5,5.26718554756743
X320.5,10.737630680362
X321.5,26.4505714044926
X322.5,41.0536163503185
X323.5,83.7125408619722
X324.5,113.186978487258
X325.5,79.2521655895609
X326.5,77.4658225698674
X327.5,49.298731996658
X328.5,12.9635149085141
X329.5,1.84328595471712
X330.5,3.07169216451176
X331.5,4.39124706863089
X332.5,17.5885640446176
X333.5,20.1538784849517
X334.5,50.1586799491593
X335.5,71.693312629661
X336.5,111.798387420938
X337.5,90.3936447881638
X338.5,59.8312986757051
X339.5,95.7521175269751
X340.5,18.6784785047491
X341.5,1.50605524673146
X342.5,0.347292446655201
X343.5,1.5892678027715
X344.5,14.0082826056379
X345.5,36.9041973931041
X346.5,44.5716575300123
X347.5,57.7336104838376
X348.5,80.7438654316233
X349.5,103.20965671032
X350.5,133.825520260537
X351.5,77.9670092672744
X352.5,11.451885039502
X353.5,2.55492690681143
X354.5,0.689462038787439
X355.5,4.3107893974223
X356.5,25.9262909356584
X357.5,54.6712729404581
X358.5,26.5843173259116
X359.5,15.7371148117521
X360.5,61.4542437360642
X361.5,52.352625282838
X362.5,77.8482967799014
X363.5,46.9128771452828
X364.5,15.4791106860688
X365.5,4.65386390630552
X366.5,0.818795318725182
X367.5,1.14246674420986
X368.5,14.7267369234816
X369.5,77.8131471761364
