,x
X519.5,48.2133170467742
X520.5,12.6341870227393
X521.5,4.96235941199863
X522.5,0.76148803546242
X523.5,1.18999300418054
X524.5,11.0336923787687
X525.5,25.9127585710363
X526.5,27.7192964452378
X527.5,100.650769143663
X528.5,33.1117138894314
X529.5,69.4636703983266
X530.5,69.0145530215603
X531.5,34.8111895625579
X532.5,13.9088174916328
X533.5,2.90786054838409
X534.5,3.82451998434485
X535.5,0.91459416559937
X536.5,21.525055706184
X537.5,63.9439618790403
X538.5,58.1552950213564
X539.5,72.6391670975755
X540.5,56.4593583345413
X541.5,58.8791022273771
X542.5,133.105586460296
X543.5,36.1701497885775
X544.5,4.25819812080962
X545.5,0.462705612786986
X546.5,0.333813077552204
X547.5,2.65210609352018
X548.5,3.37489811465778
X549.5,34.4749913076137
X550.5,17.1131079637624
X551.5,73.0026974183448
X552.5,74.6206980690043
X553.5,86.8439369049478
X554.5,172.360566867159
X555.5,70.3709364444651
X556.5,7.14264826594475
X557.5,6.61889308133717
X558.5,0.910990000003949
X559.5,2.2946543614281
X560.5,11.0707155960671
X561.5,35.7818159717829
X562.5,54.953054858332
X563.5,93.9492331216944
X564.5,85.0994848608971
X565.5,45.4274842089161
X566.5,157.264726245657
X567.5,85.610069541221
X568.5,12.9070251124336
X569.5,0.823399042849369
X570.5,1.61068944396709
X571.5,2.28232179685159
X572.5,6.6341992949205
X573.5,55.339701084539
X574.5,41.976336140899
X575.5,53.6166664980193
X576.5,90.8342479695665
X577.5,94.7596374433091
X578.5,106.767044892971
X579.5,56.7567973491993
X580.5,10.8948160625519
X581.5,4.41024009558393
X582.5,1.45323079478669
X583.5,2.78010051110958
X584.5,13.5554171906824
X585.5,58.5163504606549
X586.5,36.9311389821641
X587.5,39.0086777979072
X588.5,153.06217418833
X589.5,101.044171192545
X590.5,165.866705544451
X591.5,78.1503610201973
X592.5,14.6796408206859
X593.5,4.08600403753882
X594.5,2.32971640216543
X595.5,3.26049397045628
X596.5,3.77301544268081
X597.5,68.2364572819243
X598.5,61.9943268327637
X599.5,84.1475222702039
X600.5,58.8386020673082
X601.5,86.8152794127769
X602.5,114.155298551346
X603.5,51.6179675662771
X604.5,22.4495424431689
X605.5,2.57609659740751
X606.5,1.19371363937984
X607.5,1.56462448983988
X608.5,13.92234856778
X609.5,29.2263093411011
X610.5,57.5818955170664
X611.5,92.1882271230855
X612.5,76.4934402805694
X613.5,55.2433836460114
X614.5,102.759442441007
X615.5,81.2695417651471
X616.5,3.64388752960541
X617.5,1.17461405867869
X618.5,2.79046877256614
X619.5,0.74921741902313
X620.5,13.3779061556338
X621.5,20.5320335091191
X622.5,50.9428842645535
X623.5,104.819809965631
X624.5,89.893009944165
X625.5,111.549755730528
X626.5,126.169882833324
X627.5,104.206692984764
X628.5,14.9708704403106
X629.5,3.73679363647317
X630.5,0.164816196314356
X631.5,1.36310145946497
X632.5,11.9030767951874
X633.5,47.8401291988632
X634.5,59.7876624629853
X635.5,77.9906168725896
X636.5,50.4651851761848
X637.5,112.57913050753
X638.5,203.88496909243
X639.5,35.7996742516122
X640.5,19.9743940995095
X641.5,2.81333993222971
X642.5,1.2455696499748
X643.5,8.26598041742406
X644.5,6.44626882189806
X645.5,58.4455542356727
X646.5,29.0689704989261
X647.5,74.67575658731
X648.5,69.6800385092167
X649.5,99.4984331524118
X650.5,150.627879732467
X651.5,52.0899133086205
X652.5,35.0215907721443
X653.5,1.51102202284606
X654.5,0.821973586137942
X655.5,1.47572289086244
X656.5,16.553137944179
X657.5,31.8809510718318
X658.5,36.1623766897841
X659.5,97.7121662453134
X660.5,88.849748720514
X661.5,66.4459146679716
X662.5,139.202838466523
X663.5,52.6047657886718
X664.5,29.8662900162187
X665.5,1.22845511272688
X666.5,1.54241614946303
X667.5,1.09669063779268
X668.5,8.14897142988729
X669.5,22.9281076631965
X670.5,52.8104843269003
X671.5,70.0545405453824
X672.5,38.2753025497845
X673.5,108.371618004555
X674.5,93.0360200747531
X675.5,41.2423268753163
X676.5,7.47024659368586
X677.5,2.31382631696374
X678.5,0.332587432423408
X679.5,0.718885305670754
X680.5,14.2536292318651
X681.5,29.8115177037234
X682.5,7.45803206895498
X683.5,72.2317538263395
