,MILLOC,LA PIRHUA,TAMBORAQUE,BELLAVISTA,RIO BLANCO,SAN JOSE DE PARAC,CASAPALCA,TICLIO
1/02/1985,158.3018494,164.5937653,104.2202911,166.5467529,138.6549377,134.195343,166.5467529,164.4232178
1/03/1985,148.9126434,126.1906433,91.59243011,124.6292572,100.2926559,133.3131256,124.6292572,131.1500397
1/04/1985,70.85433197,48.06430817,27.75882721,60.95749664,35.64797974,35.39713669,60.95749664,69.04517365
1/05/1985,38.3984375,18.16745377,5.209777355,37.81290817,15.53326511,12.08355141,37.81290817,44.27827072
1/06/1985,13.78482819,6.863798618,1.690602541,24.23339844,8.137656212,4.195340633,24.23339844,30.50811195
1/07/1985,1.358986259,0.37426877,0.064561412,0.695770383,0.226443589,0.256262034,0.695770383,2.872634411
1/08/1985,11.40631008,5.155734062,1.628562093,8.683287621,3.36676693,3.842144489,8.683287621,7.761531353
1/09/1985,71.32613373,43.44289398,15.71529102,54.04800797,36.33307266,18.91335487,54.04800797,58.98197556
1/10/1985,21.95497894,15.6461153,6.741106033,22.01546478,17.0465126,11.1828661,22.01546478,34.84444046
1/11/1985,49.30925369,34.19718933,21.99145508,39.42437744,42.91058731,29.07666969,39.42437744,50.25476837
1/12/1985,131.1378479,90.47418976,63.70869446,112.847229,95.17179108,92.22671509,112.847229,130.7773743
1/01/1986,180.0002289,171.0081635,112.7701492,181.2556458,139.1950531,170.8046112,181.2556458,136.1485138
1/02/1986,172.7291565,175.0494385,107.3140182,187.1686401,151.3146973,150.4205627,187.1686401,160.3919678
1/03/1986,178.3761902,148.4062042,111.9334717,148.4537506,123.5813293,141.0641937,148.4537506,160.6747131
1/04/1986,91.84140778,58.66127014,33.39883041,86.59561157,42.35713959,50.5880394,86.59561157,122.6198196
1/05/1986,32.26564407,13.99948883,4.09044075,28.86515427,10.5902977,11.10449314,28.86515427,34.39070129
1/06/1986,0.512328029,0.396512866,0.365512729,0.475064367,0.594979286,0.142119214,0.475064367,0.994515836
1/07/1986,21.00854874,8.391593933,1.274052382,24.79071236,6.48556757,6.297185898,24.79071236,19.42132378
1/08/1986,16.90676308,11.35158062,4.997763634,19.55223846,9.318557739,10.00769711,19.55223846,18.47175407
1/09/1986,20.94551849,13.17022991,5.503381252,14.93771935,12.01396656,4.914078236,14.93771935,23.49596786
1/10/1986,23.45719719,15.26007271,6.123196125,23.2087574,15.5845623,11.0347023,23.2087574,39.56871414
1/11/1986,52.17312241,44.63188934,25.74725914,50.12503433,53.98018646,39.22688293,50.12503433,49.49536514
1/12/1986,144.4421387,93.70362091,57.57056808,125.0367737,93.8011322,88.60449219,125.0367737,116.9427948
1/01/1987,178.9687958,176.556488,118.5432587,178.4421082,127.6003418,160.0146637,178.4421082,132.4821472
1/02/1987,123.7091217,132.2402802,96.19039154,132.9211731,134.4632874,128.6265564,132.9211731,152.715683
1/03/1987,76.18096924,65.85064697,55.98569107,68.8431015,61.08899689,69.65916443,68.8431015,80.03556061
1/04/1987,28.08841133,17.31958199,7.878894329,28.54510117,16.07436752,13.85485172,28.54510117,28.96610832
1/05/1987,5.558710575,4.635766029,2.640402794,8.059885025,6.503702641,4.845757961,8.059885025,13.33838749
1/06/1987,4.72733736,2.354888678,0.916291654,3.772714615,1.70460999,0.554035962,3.772714615,7.084149361
1/07/1987,8.650094986,3.015309334,0.709519804,7.427811623,2.520329237,2.15802598,7.427811623,15.10060596
1/08/1987,13.53279686,6.858035564,2.02609992,16.68851662,6.187849045,6.95713377,16.68851662,15.54699516
1/09/1987,58.9508934,27.13682365,7.796124935,37.25823593,20.10635757,8.981806755,37.25823593,39.1426506
1/10/1987,34.6180954,18.13223839,4.987128735,25.91041183,17.59553719,10.53201485,25.91041183,54.05118942
1/11/1987,119.8379288,73.829216,32.6942749,73.79330444,68.80370331,41.75918961,73.79330444,95.22702789
1/12/1987,93.98926544,54.83616257,42.48687744,87.03279114,74.97900391,63.05535889,87.03279114,112.1053696
1/01/1988,173.4039154,154.2899017,94.13341522,158.9715271,112.194313,123.8682404,158.9715271,116.706749
1/02/1988,109.5181961,120.8646774,90.80800629,127.081749,115.9770584,120.0469666,127.081749,135.3647614
1/03/1988,156.5871582,114.453804,74.79244232,106.4233093,85.78825378,105.7814941,106.4233093,108.4038925
1/04/1988,106.742485,52.18796921,23.51422882,83.08766174,37.36646271,65.88362122,83.08766174,115.6850586
1/05/1988,39.39528275,16.94532776,4.849505901,28.15351868,9.875447273,9.50976181,28.15351868,32.81577682
1/06/1988,0.618184268,0.413871586,0.192772135,0.78040415,0.658453643,0.308942497,0.78040415,1.637064934
1/07/1988,0.814729333,0.194460064,0.019359376,0.447467834,0.099738128,0.100729108,0.447467834,1.295640349
1/08/1988,7.86608839,3.501087427,0.818375349,6.146348476,1.463108182,1.210915804,6.146348476,4.321847439
1/09/1988,55.22529602,24.65133095,8.673517227,35.42456055,25.59731102,10.3450985,35.42456055,37.88751221
1/10/1988,44.41085052,27.48789024,8.515389442,45.14445114,30.45767784,19.44810486,45.14445114,76.34757233
1/11/1988,45.53229904,28.05815697,12.24170589,32.53948975,41.543396,18.96614265,32.53948975,48.9962616
1/12/1988,100.7027435,73.52816772,55.22303772,103.4016876,89.00150299,82.77757263,103.4016876,119.744194
1/01/1989,178.0403442,168.0973663,113.510582,165.4398956,132.3323975,162.4006042,165.4398956,119.4468536
1/02/1989,167.091156,172.7048492,115.9082336,191.3617554,168.7631226,180.1281128,191.3617554,160.5297089
1/03/1989,187.1237946,164.1883392,128.7290955,161.3175964,133.8365021,167.2237244,161.3175964,161.8405304
1/04/1989,62.90486526,32.77467728,17.79522896,57.73016739,26.99947357,23.52576447,57.73016739,68.81699371
1/05/1989,13.43283463,6.942485809,2.681978703,12.32781315,5.477215767,4.755732536,12.32781315,17.45147324
1/06/1989,7.507603168,4.49424696,2.259416103,9.576662064,4.941971302,2.553216934,9.576662064,15.69725609
1/07/1989,3.804193735,1.179681659,0.300743461,1.341346741,0.29630661,0.239965811,1.341346741,4.214709759
1/08/1989,27.44343567,10.13826275,2.541501045,18.11813736,4.875986576,3.287767649,18.11813736,23.21132851
1/09/1989,26.2392292,17.27269745,7.987571716,26.6534462,21.63903618,9.918229103,26.6534462,34.2516861
1/10/1989,54.12776184,37.99342728,14.01136398,55.66471481,36.58275604,25.20572472,55.66471481,82.22683716
1/11/1989,16.81846237,12.84607983,8.074694633,16.14057732,24.62313271,12.12464523,16.14057732,26.88160896
1/12/1989,10.8754015,5.672019482,3.441151381,7.738885403,8.717328072,6.588255882,7.738885403,14.88262749
1/01/1990,127.9396896,107.9691696,65.95627594,110.1107101,90.84941101,95.90615082,110.1107101,100.9686584
1/02/1990,33.77724075,36.96807098,26.32785988,44.90565109,48.74088287,34.38285446,44.90565109,51.22102737
