"","X","MILLOC","LA.PIRHUA","TAMBORAQUE"
"100","1/04/1989",62.90486526,32.77467728,17.79522896
"101","1/05/1989",13.43283463,6.942485809,2.681978703
"102","1/06/1989",7.507603168,4.49424696,2.259416103
"103","1/07/1989",3.804193735,1.179681659,0.300743461
"104","1/08/1989",27.44343567,10.13826275,2.541501045
"105","1/09/1989",26.2392292,17.27269745,7.987571716
"106","1/10/1989",54.12776184,37.99342728,14.01136398
"107","1/11/1989",16.81846237,12.84607983,8.074694633
"108","1/12/1989",10.8754015,5.672019482,3.441151381
"109","1/01/1990",127.9396896,107.9691696,65.95627594
"110","1/02/1990",33.77724075,36.96807098,26.32785988
"111","1/03/1990",59.21511841,58.98500443,49.65472412
"112","1/04/1990",37.77965546,19.21798325,11.00541592
"113","1/05/1990",30.24156952,16.82341194,6.177320957
"114","1/06/1990",33.80391312,16.38805389,5.244139671
"115","1/07/1990",2.635603905,0.894408762,0.206906348
"116","1/08/1990",13.06719017,5.645691395,1.613102198
"117","1/09/1990",17.27885246,10.98729706,5.58569622
"118","1/10/1990",118.2408447,78.11452484,27.2105732
"119","1/11/1990",173.5723877,114.580513,55.48435211
"120","1/12/1990",107.4215622,81.45158386,57.66365433
"121","1/01/1991",73.24900055,66.88787079,41.55133057
"122","1/02/1991",87.53515625,94.53024292,77.46453094
"123","1/03/1991",105.5113831,128.3479614,134.0806885
"124","1/04/1991",44.428936,30.82313538,19.6876564
"125","1/05/1991",28.13281822,16.59541512,5.379292488
"126","1/06/1991",5.807759762,2.701809883,0.798988223
"127","1/07/1991",6.920344353,2.583540678,0.60824728
"128","1/08/1991",0.206072688,0.08508262,0.108325168
"129","1/09/1991",42.06687164,19.373106,5.961217403
"130","1/10/1991",90.45262146,67.72742462,27.18058777
"131","1/11/1991",45.81189346,38.51951218,22.34174347
"132","1/12/1991",73.52417755,42.32493591,24.67205429
"133","1/01/1992",58.78772354,47.06069946,32.32096863
"134","1/02/1992",51.79771423,60.40024567,53.6601181
"135","1/03/1992",111.4311066,63.85910034,43.82996368
"136","1/04/1992",37.05282974,21.96002197,15.50372791
"137","1/05/1992",7.598381042,3.446292639,0.982203722
"138","1/06/1992",4.328371048,2.729774714,1.47070837
"139","1/07/1992",8.223144531,2.699443102,0.339737356
"140","1/08/1992",19.51922417,6.5811553,1.15059042
"141","1/09/1992",16.76861572,9.853088379,4.424350262
"142","1/10/1992",68.96470642,47.73314667,19.15289879
"143","1/11/1992",27.17512512,18.96615982,12.02656174
"144","1/12/1992",49.76093292,31.36166191,22.27280998
"145","1/01/1993",168.4976654,138.0702209,85.95376587
"146","1/02/1993",123.5891647,128.3446808,88.13171387
"147","1/03/1993",164.6358032,138.3014679,110.449028
"148","1/04/1993",85.92280579,53.16396713,33.49748993
"149","1/05/1993",15.83571339,9.506649017,3.206403732
"150","1/06/1993",0.20253256,0.064224586,0.030606583
"151","1/07/1993",5.427364826,1.830045342,0.399294764
"152","1/08/1993",8.707081795,3.418062925,0.676939726
"153","1/09/1993",36.90180588,21.00538254,7.762229919
"154","1/10/1993",84.22170258,61.45069504,27.81642723
"155","1/11/1993",139.2341461,98.74558258,53.13122559
"156","1/12/1993",224.7770996,142.3731995,94.40840912
"157","1/01/1994",317.0540771,209.8340149,102.0127869
"158","1/02/1994",56.00780487,105.0465698,113.7573471
"159","1/03/1994",172.52771,129.6100922,83.81464386
"160","1/04/1994",77.8009491,57.2756691,36.95199966
"161","1/05/1994",54.57151413,22.84837723,6.16771698
"162","1/06/1994",15.10321426,6.290615559,1.794959545
"163","1/07/1994",9.158024788,3.018381834,0.39650014
"164","1/08/1994",19.69279671,7.676368713,1.555506587
"165","1/09/1994",62.16674805,31.15070534,9.516914368
"166","1/10/1994",22.70253372,15.33989239,5.821864605
"167","1/11/1994",117.4005814,77.03916168,35.51683044
"168","1/12/1994",246.9671936,122.2917633,67.13877106
"169","1/01/1995",192.2008667,143.0232544,79.33913422
"170","1/02/1995",140.1578522,96.33261871,56.43513489
"171","1/03/1995",243.1697083,147.179718,83.86936188
"172","1/04/1995",102.3941269,50.67181778,26.65706062
"173","1/05/1995",44.0229454,21.60587502,5.185658932
"174","1/06/1995",4.202568531,2.506438255,1.042592525
"175","1/07/1995",3.5386765,1.551974058,0.641127944
"176","1/08/1995",11.52852249,4.460161209,0.948408484
"177","1/09/1995",42.58726501,28.7080822,11.53636837
"178","1/10/1995",75.38017273,51.18213654,18.16872597
"179","1/11/1995",76.42185211,71.17733002,49.30286407
"180","1/12/1995",140.7330017,89.63808441,57.38640594
"181","1/01/1996",139.4152679,141.7412262,93.78972626
"182","1/02/1996",149.3932495,165.3141785,110.1520538
"183","1/03/1996",114.2740631,110.4900513,88.03694153
"184","1/04/1996",59.90676117,37.03727722,22.71000481
"185","1/05/1996",26.51049423,12.18820953,3.329612494
"186","1/06/1996",3.072728634,1.79968226,0.796121776
"187","1/07/1996",0.486410528,0.256461054,0.09361133
"188","1/08/1996",8.832846642,3.531853914,1.207141638
"189","1/09/1996",30.9227562,13.79285431,5.461292744
"190","1/10/1996",49.47966003,30.11639595,8.404788971
"191","1/11/1996",43.58173752,27.95611763,15.59979153
"192","1/12/1996",86.42113495,53.93611526,35.64051819
"193","1/01/1997",135.2403717,111.7757568,73.58046722
"194","1/02/1997",190.7694855,161.0907593,94.1734848
"195","1/03/1997",54.10434341,41.72471619,30.99453163
"196","1/04/1997",36.35602951,22.26585007,10.58306885
"197","1/05/1997",16.09657288,5.561226368,1.423408508
"198","1/06/1997",0.410853505,0.39972949,0.453730255
"199","1/07/1997",4.75297308,1.939249635,0.339360088
"200","1/08/1997",27.94630241,8.967315674,1.654154181
"201","1/09/1997",52.82538223,29.07096672,9.269854546
"202","1/10/1997",48.55760956,36.68063736,13.78468704
"203","1/11/1997",81.53330231,62.86187363,34.45434952
"204","1/12/1997",183.5059204,120.4873123,70.25618744
"205","1/01/1998",183.8763275,178.8353577,106.5233383
"206","1/02/1998",134.6545715,153.8328552,119.2967072
"207","1/03/1998",146.4317322,158.7901154,135.6280365
"208","1/04/1998",45.68992996,30.89493752,23.2494297
"209","1/05/1998",0.518924236,0.520596564,0.358685702
"210","1/06/1998",2.291872025,1.892446518,1.131155372
"211","1/07/1998",0.271281093,0.066579573,0.05680332
"212","1/08/1998",13.92935276,5.414754391,1.073584557
"213","1/09/1998",46.48106003,21.25812721,8.249310493
"214","1/10/1998",72.26325226,36.65379715,8.816626549
"215","1/11/1998",57.70781326,37.10239029,15.18895626
"216","1/12/1998",45.80220795,39.64376068,43.21741104
"217","1/01/1999",135.8769684,116.2798615,80.13640594
"218","1/02/1999",263.8288269,231.7029572,139.996994
"219","1/03/1999",120.538887,122.4026566,100.223877
"220","1/04/1999",86.25640869,58.24887085,34.47120285
"221","1/05/1999",53.91662979,29.79450798,7.306880474
"222","1/06/1999",5.521004677,3.904219866,2.038438797
"223","1/07/1999",7.048246861,2.211691141,0.41717425
"224","1/08/1999",17.84762383,5.910953522,0.91844207
"225","1/09/1999",49.236866,33.502491,14.35723209
"226","1/10/1999",91.63185883,75.1350174,30.30590248
"227","1/11/1999",72.35163116,55.01727295,32.84182739
"228","1/12/1999",165.3737793,106.8105469,67.95611572
"229","1/01/2000",279.2112122,191.0475006,99.18977356
"230","1/02/2000",235.1086884,216.1035004,120.6270752
"231","1/03/2000",203.1196442,171.5608368,122.2331238
"232","1/04/2000",51.61911774,43.05324936,29.83458138
"233","1/05/2000",48.50740051,24.95829582,8.177749634
"234","1/06/2000",0.403291494,0.311095685,0.154106528
"235","1/07/2000",10.72282028,3.876573801,0.955217123
"236","1/08/2000",38.27168274,12.7202692,2.474600792
"237","1/09/2000",15.16138649,23.44120598,12.53866959
"238","1/10/2000",61.51663208,50.53155518,21.6341114
"239","1/11/2000",48.72335815,34.99303818,16.73800087
"240","1/12/2000",313.1751404,170.0908356,80.11653137
"241","1/01/2001",319.3009033,236.3171844,121.7183609
"242","1/02/2001",203.5653534,169.4106903,91.89862823
"243","1/03/2001",367.9441833,259.9624939,139.5542603
"244","1/04/2001",55.72021866,43.0739212,27.15762138
"245","1/05/2001",16.59603882,8.016597748,2.189177036
"246","1/06/2001",2.859326601,1.846742988,0.524647534
"247","1/07/2001",12.70082951,4.12159586,0.938044071
"248","1/08/2001",2.899563789,2.037625313,0.957770407
"249","1/09/2001",91.97462463,45.4393425,13.61461926
"250","1/10/2001",43.12217712,36.00227356,14.42414761
"251","1/11/2001",123.8086929,112.8547363,65.35045624
"252","1/12/2001",85.06996155,49.95793533,25.60648155
"253","1/01/2002",87.13577271,82.79244995,54.55018997
"254","1/02/2002",148.9592438,151.8755035,111.8538361
"255","1/03/2002",178.4313049,148.134964,101.3081741
"256","1/04/2002",89.59644318,63.73481369,38.88709641
"257","1/05/2002",25.11558342,12.69800568,4.701764107
"258","1/06/2002",9.175222397,4.432774067,0.984647751
"259","1/07/2002",16.13837814,4.805212021,0.855300605
"260","1/08/2002",14.10839081,4.713840961,0.841789961
"261","1/09/2002",55.63508987,32.3200798,13.43278122
"262","1/10/2002",106.7576218,76.53191376,28.49280739
"263","1/11/2002",131.1682129,100.2472916,47.98597336
"264","1/12/2002",127.1118469,81.63742065,56.30293655
"265","1/01/2003",139.1947174,122.2852783,72.39969635
"266","1/02/2003",131.7193298,121.3007736,78.50170135
"267","1/03/2003",169.8441162,157.3523254,121.2851105
"268","1/04/2003",62.45982361,44.00566864,28.22704506
"269","1/05/2003",7.17610693,4.629249573,1.487111807
"270","1/06/2003",0.54334569,0.506419778,0.220932767
"271","1/07/2003",7.536279678,2.401524305,0.470669001
"272","1/08/2003",3.020576,1.27718854,0.362970471
"273","1/09/2003",5.640120029,6.391789913,4.572710991
"274","1/10/2003",37.53104401,23.47697449,8.062877655
"275","1/11/2003",30.18433189,22.10661697,11.16359234
